wwavenumber,intensity,intensity_baseline_corrected,intensity_smoothed,intensity_minmax,intensity_standard,intensity_vector_norm
499.96,54,10.870350056882522,8.4367861957002,0.023400837176110904,-0.28842867791590704,0.004888232310644191
503.471,55,11.744367291289699,8.37374044318517,0.023272548317764763,-0.2896747906388214,0.004851703912585471
506.981,50,6.620261518725634,8.310240615960346,0.023143335483991268,-0.29092987824506183,0.004814912425879443
510.489,47,3.4980188649946697,8.978207794846657,0.024502550710609205,-0.27772736472282267,0.005201929314839602
513.999,55,11.377624793874979,8.724946846812179,0.02398720183156683,-0.28273312128807065,0.005055191170658888
517.503,58,14.25906441934287,6.687971461035001,0.01984225572027665,-0.3229943735250892,0.003874977678723109
521.009,50,6.142321717612134,6.200598666177072,0.01885052357422313,-0.33262740059269374,0.0035925962851579055
524.51,47,3.02737923899015,7.218522530701797,0.020921849321854313,-0.3125079186618533,0.0041823763517526355
528.014,44,-0.08578108044788024,7.939860880647123,0.022389667052695277,-0.29825051257920543,0.004600316233991984
531.513,55,10.80282239263532,8.26436268643416,0.0230499806271229,-0.2918366652910237,0.004788330979786894
535.014,56,11.693172140809757,7.108093315216475,0.020697142066923947,-0.31469057561982844,0.004118394208949307
538.51,58,13.58524956636316,8.424413509611139,0.023375660574837684,-0.2886732266909975,0.004881063637347618
542.008,54,9.479034902266065,9.747103017055629,0.0260671397005094,-0.2625299869335065,0.005647423414312856
545.502,52,7.374507022964089,11.250966469792713,0.029127281228903828,-0.23280580556958666,0.006518754481611077
548.997,45,0.2716438549993683,11.42549285767629,0.02948241682741257,-0.2293562543508244,0.0066198742099677485
552.488,64,19.170422587463335,12.678584893334094,0.032032275307075454,-0.20458862344272236,0.0073459095550420595
555.979,62,17.07082038228301,11.82373855243898,0.03029278839860113,-0.22148484339460908,0.006850615801322294
559.469,62,16.97281248434318,12.637152505509299,0.031947966475464155,-0.2054075434103584,0.007321903833885404
562.955,57,11.87637243144659,14.128124473789768,0.03498187572400861,-0.17593816498173245,0.00818576563867166
566.442,55,9.781472064114759,14.154435763294712,0.03503541533861468,-0.17541811674215316,0.008201010270040691
569.928,49,3.6880820352319716,11.417689111048876,0.029466537347737635,-0.22951049706458218,0.00661535275766075
573.411,65,19.59617201953533,9.88288910203671,0.026343444465328596,-0.25984614605066014,0.005726097202239198
576.894,62,16.505711322953758,11.130423794858373,0.028881994567512496,-0.23518835720705022,0.0064489126502836665
580.376,53,7.416667291798959,13.183570702715539,0.033059847354075786,-0.19460747139268705,0.00763849584235289
583.854,55,9.329005621811476,14.622715782877059,0.035988296487653296,-0.16616246244333227,0.00847232940377886
587.331,59,13.24269126706512,15.219385865396909,0.037202432581556186,-0.1543691512122057,0.008818037106749305
590.811,73,27.157688248733137,15.728789301740473,0.03823899385141391,-0.1443006838246102,0.009113182945333772
594.286,63,17.073959263719672,18.829209844511468,0.044547894863106646,-0.08302021161816224,0.010909551316204922
597.759,63,16.99146429316005,21.91221638672139,0.05082136093807328,-0.02208393084080088,0.012695830101038726
